name,reason
"Krishnarajpet Taluka Hospital, (FRU)",outside Bengaluru
"Maddur Taluk Hospital, (FRU)",outside Bengaluru
"Malavalli Taluka Hospital, (FRU)",outside Bengaluru
"Nagamangala Taluka Hospital, (FRU)",outside Bengaluru
"Pandavapura Taluka Hospital, (FRU)",outside Bengaluru
"Srirangapatna Taluka Hospital, (FRU)",outside Bengaluru
"T Narasipur Taluk Hospital, (FRU)",outside Bengaluru
"Periyapatna Taluk Hospital, (FRU)",outside Bengaluru
"Nanjangud Taluk Hospital, (FRU)",outside Bengaluru
MCH Hospital,outside Bengaluru
"Krishnarajanagara Taluk Hospital, (FRU)",outside Bengaluru
"HunsurTaluk Hospital, (FRU)",outside Bengaluru
"Heggadadevanakote Taluk Hospital, (FRU)",outside Bengaluru
"Channapatna Taluk Hospital, (FRU)",outside Bengaluru
"Kanakapura Taluk Hospital, (FRU)",outside Bengaluru
"Magadi Taluk Hospital, (FRU)",outside Bengaluru
"Chikkaayakanhalli Taluk Hospital, (FRU)",outside Bengaluru
"Koratagere Taluk Hospital, (FRU)",outside Bengaluru
"Madhugiri Taluk Hospital, (FRU)",outside Bengaluru
"Sira Taluk Hospital, (FRU)",outside Bengaluru
"Pavagada Taluk Hospital, (FRU)",outside Bengaluru
"Tiptur Taluk Hospital, (FRU)",outside Bengaluru
"Gubbi Taluk Hospital, (FRU)",outside Bengaluru
"Kunigal Taluk Hospital, (FRU)",outside Bengaluru
"Kundapura Taluk Hospital, (FRU)",outside Bengaluru
"Karkala Taluk Hospital, (FRU)",outside Bengaluru
"Shahpur Taluka Hospital, (FRU)",outside Bengaluru
"Shorapur Taluka Hospital, (FRU)",outside Bengaluru
"Turuvekere Taluk Hospital, (FRU)",outside Bengaluru
"Community Health Center, Kerur",outside Bengaluru
"Community Health Center, Guledgudd, (FRU)",outside Bengaluru
"Community Health Center, Girisagar",outside Bengaluru
"Community Health Center, Mahalingapur, (FRU)",outside Bengaluru
"Community Health Center, Ilkal, (FRU)",outside Bengaluru
"Community Health Center, Kudalasangama",outside Bengaluru
"Community Health Center, Rabakavi Banahatti, (FRU)",outside Bengaluru
"Community Health Center, Itagi",outside Bengaluru
"Community Health Center, Hampasagara",outside Bengaluru
"Community Health Center, Kampli",outside Bengaluru
"Community Health Center, C.J.Halli",outside Bengaluru
"Community Health Center, Kottur",outside Bengaluru
"Community Health Center, Ujjini",outside Bengaluru
"Community Health Center, Tekkalkote",outside Bengaluru
"Community Health Center, Kurugodu",outside Bengaluru
