ward_no,ward_name,ward_label,population,area_sqkm,density_per_sqkm,sample_points,points_reachable,median_min,mean_min,best_min,worst_min,share_under_30,median_direct_only,median_800m,median_frequent,median_general,straight_line_km,share_reachable,band,band_colour,people_over_45,people_over_60,crow_fly_min,penalty_ratio
60,Sagayarapuram,60-Sagayarapuram,35334,0.7691634453125,45938.22056330863,11.0,11.0,16.867303211121396,17.970264635067135,12.732284550702117,24.139189439982747,1.0,16.867303211121396,16.529841834435302,16.867303211121396,16.867303211121396,1.6757382403289967,1.0,Under 30 min,#2e8b7a,0,0,20.946728004112458,0.8052476361849855
101,Kamakshipalya,101-Kamakshipalya,30051,0.9134506484375,32898.32904646095,14.0,14.0,16.973478212486015,16.695393425728906,9.55951772024644,23.07071022834263,1.0,16.973478212486015,15.890917445155193,16.973478212486015,16.973478212486015,1.478792166662015,1.0,Under 30 min,#2e8b7a,0,0,18.484902083275188,0.9182346834200067
64,Rajamahal Guttahalli,64-Rajamahal Guttahalli,31118,0.7207275902079018,43175.81347347015,12.0,12.0,17.25600733042281,17.034885179893916,10.886408858387401,22.838825547592286,1.0,17.25600733042281,17.25600733042281,17.25600733042281,17.25600733042281,1.380480586433825,1.0,Under 30 min,#2e8b7a,0,0,17.25600733042281,1.0
66,Subramanya Nagar,66-Subramanya Nagar,35709,0.94126066015625,37937.41894415547,14.0,14.0,17.760016659984526,17.30809246212317,13.66910005897208,22.447468528873486,1.0,17.760016659984526,17.495307674522046,17.760016659984526,17.760016659984526,1.458329419469369,1.0,Under 30 min,#2e8b7a,0,0,18.229117743367112,0.9742663857907619
147,Adugodi,147-Adugodi,34299,1.5981844205311444,21461.227852916367,24.0,24.0,18.315875394966827,19.25409518950101,12.90490325220648,32.1796293508705,0.9583333333333334,18.315875394966827,18.315875394966827,18.315875394966827,21.331059596006646,1.4652700315973461,1.0,Under 30 min,#2e8b7a,0,0,18.315875394966827,1.0
4,Yelahanka Satellite Town,4-Yelahanka Satellite Town,41986,4.601178743292581,9125.053022816284,73.0,67.0,18.405259069063252,33.93688996561652,6.819517112502848,46.18559978975636,0.7808219178082192,18.405259069063252,18.405259069063252,18.405259069063252,18.405259069063252,1.7821791039120267,0.9178082191780822,Under 30 min,#2e8b7a,0,0,22.277238798900335,0.8261912185441844
78,Pulikeshinagar,78-Pulikeshinagar,28835,1.7251913984375,16714.087507111246,29.0,29.0,18.4542338080743,16.697552806483266,7.151475721294325,23.973986233617094,1.0,18.4542338080743,18.4542338080743,18.4542338080743,18.4542338080743,1.5081906945883012,1.0,Under 30 min,#2e8b7a,0,0,18.852383682353768,0.9788806614066451
43,Nandini Layout,43-Nandini Layout,51200,1.41384369140625,36213.33837057687,22.0,22.0,18.549975448381936,20.120673032286017,13.490733881683152,39.79899337288825,0.9090909090909091,18.549975448381936,18.549975448381936,18.549975448381936,18.549975448381936,1.8410320792341466,1.0,Under 30 min,#2e8b7a,0,0,23.012900990426832,0.8060685376475815
173,Jakkasandra,173-Jakkasandra,33521,1.52040259765625,22047.449834454183,24.0,24.0,18.731835748479092,18.891332337285053,10.265112928969623,28.51084091980357,1.0,18.731835748479092,18.731835748479092,18.731835748479092,18.731835748479092,1.544732243732431,1.0,Under 30 min,#2e8b7a,0,0,19.309153046655386,0.9701013660836723
126,Maruthi Mandir ward,126-Maruthi Mandir ward,29319,0.78688482421875,37259.58246698816,12.0,12.0,18.781544464201946,19.003846315644335,14.359914311853926,24.451914039798698,1.0,18.781544464201946,18.781544464201946,18.781544464201946,18.781544464201946,1.9914036301532603,1.0,Under 30 min,#2e8b7a,0,0,24.892545376915756,0.754504779636522
19,Sanjaya Nagar,19-Sanjaya Nagar,32491,1.5433906879137644,21051.701461228076,25.0,25.0,18.784496148508232,18.356607894471335,11.523327231296074,23.74206772657596,1.0,18.784496148508232,18.784496148508232,18.784496148508232,18.784496148508232,1.5027596918806585,1.0,Under 30 min,#2e8b7a,0,0,18.784496148508232,1.0
