ward_no,ward_label,minutes,minutes_direct_only,minutes_800m,minutes_frequent,minutes_general,straight_line_km,easting,northing
9,9-Vidyaranyapura,,,41.05336259313829,,,3.555270631014423,778321.625,1448021.0
9,9-Vidyaranyapura,,,,,,3.333102115078638,778571.625,1448021.0
9,9-Vidyaranyapura,,,,,,3.115154917388489,778821.625,1448021.0
9,9-Vidyaranyapura,,,,,,2.9023801627487877,779071.625,1448021.0
9,9-Vidyaranyapura,,,50.67172290718558,,,2.696002792822306,779321.625,1448021.0
9,9-Vidyaranyapura,48.57526070997568,48.57526070997568,48.11729321270879,,48.57526070997568,2.4976091585141322,779571.625,1448021.0
4,4-Yelahanka Satellite Town,45.017023349261976,45.017023349261976,45.017023349261976,,45.017023349261976,2.3092578804632593,779821.625,1448021.0
4,4-Yelahanka Satellite Town,41.96576307372299,41.96576307372299,41.96576307372299,,41.96576307372299,2.1336101818911675,780071.625,1448021.0
4,4-Yelahanka Satellite Town,24.675749919131313,24.675749919131313,24.675749919131313,24.675749919131313,24.675749919131313,1.974059993530505,780321.625,1448021.0
4,4-Yelahanka Satellite Town,22.935143979292633,22.935143979292633,22.75841997521201,22.935143979292633,22.935143979292633,1.8348115183434106,780571.625,1448021.0
4,4-Yelahanka Satellite Town,19.682333425018978,19.682333425018978,19.682333425018978,19.682333425018978,19.682333425018978,1.7208003247424286,780821.625,1448021.0
4,4-Yelahanka Satellite Town,16.71609751588048,16.71609751588048,16.71609751588048,16.71609751588048,16.71609751588048,1.637306998525824,781071.625,1448021.0
7,7-Byatarayanapura,15.298813997572498,15.298813997572498,15.298813997572498,15.298813997572498,15.298813997572498,1.5891490355563376,781321.625,1448021.0
7,7-Byatarayanapura,17.838807685158198,17.838807685158198,17.838807685158198,17.838807685158198,17.838807685158198,1.5795616819224356,781571.625,1448021.0
7,7-Byatarayanapura,20.11543078702901,20.11543078702901,20.11543078702901,20.11543078702901,20.11543078702901,1.6092344629623208,781821.625,1448021.0
7,7-Byatarayanapura,20.951044151238115,20.951044151238115,20.951044151238115,20.951044151238115,20.951044151238115,1.676083532099049,782071.625,1448021.0
5,5-Jakkuru,22.19894583773074,22.19894583773074,22.19894583773074,22.19894583773074,22.19894583773074,1.7759156670184593,782321.625,1448021.0
5,5-Jakkuru,23.794356296943132,23.794356296943132,23.794356296943132,23.794356296943132,23.794356296943132,1.9035485037554507,782571.625,1448021.0
5,5-Jakkuru,,,44.63092814490411,,,2.0538055789041008,782821.625,1448021.0
5,5-Jakkuru,,,45.47292932566272,,,2.2221021141535338,783071.625,1448021.0
5,5-Jakkuru,,,52.694531749083225,,,2.4046534585078163,783321.625,1448021.0
